# package	band	names-added	claimed-names-exercised
gcc-toolset-9-gcc-gdb-plugin	unpinnable	1	14
gcc-toolset-9-gcc-gfortran	unpinnable	10	34
gcc-toolset-9-gcc-plugin-devel	expensive	40	22
gcc-toolset-9-gdb	unpinnable	17	40
gcc-toolset-9-gdb-gdbserver	unpinnable	6	30
gcc-toolset-9-ltrace	unpinnable	4	28
gcc-toolset-9-make	unpinnable	3	35
gcc-toolset-9-strace	unpinnable	5	32
gcc-toolset-9-systemtap-client	unpinnable	7	35
gcc-toolset-9-systemtap-devel	unpinnable	7	35
gcc-toolset-9-systemtap-runtime	unpinnable	12	39
gcc-toolset-9-systemtap-server	unpinnable	5	24
gcc-toolset-9-valgrind	unpinnable	2	28
gcr	unpinnable	5	17
gd	unpinnable	5	20
gdb-gdbserver	unpinnable	6	30
gdb-headless	unpinnable	17	40
gdbm	unpinnable	4	26
gdbm-libs	unpinnable	1	24
gdisk	expensive	22	12
gdk-pixbuf2	unpinnable	2	13
gdk-pixbuf2-devel	cheap	1	5
gdk-pixbuf2-modules	unpinnable	1	17
gdk-pixbuf2-xlib	cheap	3	6
gdm	unpinnable	4	28
gedit	unpinnable	6	8
gedit-plugin-bookmarks	cheap	1	2
gedit-plugin-drawspaces	free	0	2
gedit-plugin-findinfiles	unpinnable	1	5
gedit-plugin-wordcompletion	free	0	2
gegl	unpinnable	6	23
gegl04	unpinnable	5	24
genisoimage	unpinnable	2	37
genwqe-tools	unpinnable	4	33
genwqe-vpd	unpinnable	4	24
genwqe-zlib	unpinnable	6	22
geoclue2	unpinnable	4	5
geoclue2-demos	unpinnable	3	3
geoclue2-libs	free	0	2
geocode-glib	unpinnable	2	4
geoipupdate	expensive	23	19
gettext	unpinnable	11	30
gettext-devel	unpinnable	2	19
gettext-libs	unpinnable	8	32
gfbgraph	free	0	2
